0,0,0,0,0,0,2,21,6,1,0,0
1,1,1,1,1,1,4,15,7,0,0,0
2,2,2,2,2,2,0,23,12,3,0,0
3,3,3,3,3,3,5,9,13,2,0,0
4,4,4,4,4,4,1,17,18,5,0,0
5,5,5,5,5,5,3,11,19,4,0,0
6,6,6,6,6,6,8,19,0,7,0,0
7,7,7,7,7,7,10,13,1,6,0,0
8,8,8,8,8,8,6,22,14,9,0,0
9,9,9,9,9,9,11,3,15,8,0,0
10,10,10,10,10,10,7,16,20,11,0,0
11,11,11,11,11,11,9,5,21,10,0,0
12,12,12,12,12,12,14,18,2,13,0,0
13,13,13,13,13,13,16,7,3,12,0,0
14,14,14,14,14,14,12,20,8,15,0,0
15,15,15,15,15,15,17,1,9,14,0,0
16,16,16,16,16,16,13,10,22,17,0,0
17,17,17,17,17,17,15,4,23,16,0,0
18,18,18,18,18,18,20,12,4,19,0,0
19,19,19,19,19,19,22,6,5,18,0,0
20,20,20,20,20,20,18,14,10,21,0,0
21,21,21,21,21,21,23,0,11,20,0,0
22,22,22,22,22,22,19,8,16,23,0,0
23,23,23,23,23,23,21,2,17,22,0,0
